Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO
Capitan;Capitan;val;SAE_D0_Capitan;;0;0;1;;0.5;0.65;121;0.975609756097561;0.8737265837668272;0.96;0.9917355371900827;120.0;5;1;0.9917355371900827;0.04;0.008264462809917356;0.8560280799865723;0.5877065062522888
Capitan;Capitan;test;SAE_D0_Capitan;;0;0;1;;0.5;0.65;144;0.8807339449541284;0.8707861309174263;0.7868852459016393;1.0;144.0;39;0;1.0;0.21311475409836064;0.0;0.9896546602249146;0.743061900138855
Capitan;SEILS;test;SAE_D0_Capitan;;0;0;1;;0.5;0.65;289;0.0909090909090909;0.6297737027023376;0.06614173228346457;0.1453287197231834;42.0;593;247;0.1453287197231834;0.9338582677165355;0.8546712802768166;0.01631462760269642;0.003525089006870985
Capitan;FMT_C;test;SAE_D0_Capitan;;0;0;1;;0.5;0.65;311;0;0;0.0;0.0;0.0;3;311;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D0_SEILS;;0;0;1;;0.5;0.8;290;0.9233511586452764;0.8774744737950259;0.955719557195572;0.8931034482758621;259.0;12;31;0.8931034482758621;0.04428044280442804;0.10689655172413794;0.38584649562835693;0.2648713290691376
SEILS;Capitan;test;SAE_D0_SEILS;;0;0;1;;0.5;0.8;144;0;0;0.0;0.0;0.0;11;144;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D0_SEILS;;0;0;1;;0.5;0.8;289;0.9392857142857142;0.8888300918090212;0.9704797047970479;0.9100346020761245;263.0;8;26;0.9100346020761245;0.02952029520295203;0.08996539792387544;0.892833411693573;0.6689413189888
SEILS;FMT_C;test;SAE_D0_SEILS;;0;0;1;;0.5;0.8;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D0_FMT_C;;0;0;1;;0.5;0.75;316;0.9712460063897763;0.8326481447038921;0.9806451612903225;0.9620253164556962;304.0;6;12;0.9620253164556962;0.01935483870967742;0.0379746835443038;0.5170645713806152;0.2912849187850952
FMT_C;Capitan;test;SAE_D0_FMT_C;;0;0;1;;0.5;0.75;144;0.01840490797546012;0.5848343712061176;0.016483516483516484;0.020833333333333332;3.0;179;141;0.020833333333333332;0.9835164835164835;0.9791666666666666;0.0006107891094870865;0.00019013494602404535
