Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.25;0.55;316;0.9716088328075709;0.8073498086276193;0.9685534591194969;0.9746835443037974;308.0;10;8;0.9746835443037974;0.031446540880503145;0.02531645569620253;0.7628657221794128;0.3934323489665985
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.25;0.55;144;0.1459227467811159;0.5954661534921643;0.19101123595505617;0.11805555555555555;17.0;72;127;0.11805555555555555;0.8089887640449438;0.8819444444444444;0.029856465756893158;0.005891432985663414
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.25;0.55;289;0.4539385847797063;0.68533845301667;0.3695652173913043;0.5882352941176471;170.0;290;119;0.5882352941176471;0.6304347826086957;0.4117647058823529;0.3227701783180237;0.10933400690555573
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.25;0.55;311;0.9807692307692308;0.7995398285729628;0.9776357827476039;0.9839228295819936;306.0;7;5;0.9839228295819936;0.022364217252396165;0.01607717041800643;0.9697742462158203;0.5410667657852173
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.5;0.45;316;0.9746031746031746;0.8101319587570011;0.9777070063694268;0.9715189873417721;307.0;7;9;0.9715189873417721;0.022292993630573247;0.028481012658227847;0.7600013017654419;0.39697447419166565
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.5;0.45;144;0.021621621621621623;0.5966645203433535;0.04878048780487805;0.013888888888888888;2.0;39;142;0.013888888888888888;0.9512195121951219;0.9861111111111112;0.0009920635493472219;0.00031824613688513637
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.5;0.45;289;0.29037520391517135;0.6460671727901423;0.27469135802469136;0.3079584775086505;89.0;235;200;0.3079584775086505;0.7253086419753086;0.6920415224913494;0.14509190618991852;0.04143281653523445
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.5;0.45;311;0.9823434991974318;0.8003167343102265;0.9807692307692307;0.9839228295819936;306.0;6;5;0.9839228295819936;0.019230769230769232;0.01607717041800643;0.9764926433563232;0.5491060018539429
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.75;0.35;316;0.9606299212598425;0.8073409951877768;0.9561128526645768;0.9651898734177216;305.0;14;11;0.9651898734177216;0.0438871473354232;0.03481012658227848;0.5077059864997864;0.25623518228530884
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;250;votes;0.75;0.35;144;0;0;0.0;0.0;0.0;16;144;0.0;1.0;1.0;0.0;0.0
