Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO;F1_avg_indiv;F1_variance
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0.1;2;max;0.0;0.6;121;0.9836065573770492;0.8586994758068712;0.975609756097561;0.9917355371900827;120.0;3;1;0.9917355371900827;0.024390243902439025;0.008264462809917356;0.921660304069519;0.5692388415336609;0.9196880008253269;0.2183071308305377
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0.1;2;max;0;0.6;144;0.9411764705882353;0.8539985312643954;0.8888888888888888;1.0;144.0;18;0;1.0;0.1111111111111111;0.0;0.9764832854270935;0.6899454593658447;0.748;0.4319444408717399
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0.1;2;max;0;0.6;289;0.3469387755102041;0.7355408404463064;0.29974811083123426;0.4117647058823529;119.0;278;170;0.4117647058823529;0.7002518891687658;0.5882352941176471;0.17876876890659332;0.07270468771457672;0.33097183149246334;0.21504132782705468
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0.1;2;max;0;0.6;311;0;0;0.0;0.0;0.0;2;311;0.0;1.0;1.0;0.0;0.0;0.0;0.0
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0.2;2;max;0.0;0.75;121;0.9672131147540983;0.8531159096275707;0.959349593495935;0.9752066115702479;118.0;5;3;0.9752066115702479;0.04065040650406504;0.024793388429752067;0.8977647423744202;0.5453783869743347;0.8811679260406212;0.27005441703502414
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0.2;2;max;0;0.75;144;0.9627118644067797;0.8623415496695048;0.9403973509933775;0.9861111111111112;142.0;9;2;0.9861111111111112;0.059602649006622516;0.013888888888888888;0.9638230800628662;0.6972373723983765;0.8884615384615385;0.3003695948179913
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0.2;2;max;0;0.75;289;0.25951557093425603;0.7136346946479626;0.25951557093425603;0.25951557093425603;75.0;214;214;0.25951557093425603;0.740484429065744;0.740484429065744;0.09096474945545197;0.03385526314377785;0.21914012709893715;0.24995552167712828
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0.2;2;max;0;0.75;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0.3;2;max;0.0;0.3;121;0.979591836734694;0.8099486681977768;0.967741935483871;0.9917355371900827;120.0;4;1;0.9917355371900827;0.03225806451612903;0.008264462809917356;0.8590428829193115;0.48677897453308105;0.9099541195039372;0.1900197441155339
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0.3;2;max;0;0.3;144;0.8785046728971962;0.8000806296200751;0.7966101694915254;0.9791666666666666;141.0;36;3;0.9791666666666666;0.2033898305084746;0.020833333333333332;0.9316515326499939;0.5230653882026672;0.730219001610306;0.4241975390949037
