Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.25;0.7;290;0.9428571428571428;0.8631560508129834;0.9777777777777777;0.9103448275862069;264.0;6;26;0.9103448275862069;0.022222222222222223;0.0896551724137931;0.8248628377914429;0.5013729333877563
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.25;0.7;144;0;0;0.0;0.0;0.0;9;144;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.25;0.7;289;0.932142857142857;0.877489505196655;0.9630996309963099;0.903114186851211;261.0;10;28;0.903114186851211;0.03690036900369004;0.09688581314878893;0.8718318939208984;0.6449235081672668
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.25;0.7;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.5;0.6;290;0.9428571428571428;0.8644349040876561;0.9777777777777777;0.9103448275862069;264.0;6;26;0.9103448275862069;0.022222222222222223;0.0896551724137931;0.8457679152488708;0.5367809534072876
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.5;0.6;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.5;0.6;289;0.932142857142857;0.8791769977167196;0.9630996309963099;0.903114186851211;261.0;10;28;0.903114186851211;0.03690036900369004;0.09688581314878893;0.8719595670700073;0.6436697244644165
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.5;0.6;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.75;0.5;290;0.9411764705882353;0.859132963819797;0.974169741697417;0.9103448275862069;264.0;7;26;0.9103448275862069;0.025830258302583026;0.0896551724137931;0.810290515422821;0.5070878267288208
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.75;0.5;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.75;0.5;289;0.9285714285714287;0.8754873839250427;0.959409594095941;0.8996539792387543;260.0;11;29;0.8996539792387543;0.04059040590405904;0.10034602076124567;0.8685120940208435;0.6411906480789185
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;0.75;0.5;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;1.0;0.1;290;0.7452991452991453;0.8027958145136812;0.7389830508474576;0.7517241379310344;218.0;77;72;0.7517241379310344;0.26101694915254237;0.2482758620689655;0.12070512771606445;0.05604889243841171
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;1.0;0.1;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;1.0;0.1;289;0.7408637873754154;0.7994507119409213;0.7124600638977636;0.7716262975778547;223.0;90;66;0.7716262975778547;0.28753993610223644;0.22837370242214533;0.6059189438819885;0.33351200819015503
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;250;votes;1.0;0.1;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.25;0.7;290;0.9428571428571428;0.8600486796978317;0.9777777777777777;0.9103448275862069;264.0;6;26;0.9103448275862069;0.022222222222222223;0.0896551724137931;0.8053693175315857;0.48757046461105347
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.25;0.7;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.25;0.7;289;0.932142857142857;0.8774042241664146;0.9630996309963099;0.903114186851211;261.0;10;28;0.903114186851211;0.03690036900369004;0.09688581314878893;0.8710657954216003;0.6430783867835999
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.25;0.7;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.5;0.45;290;0.9392857142857144;0.8626102260767148;0.9740740740740741;0.906896551724138;263.0;7;27;0.906896551724138;0.025925925925925925;0.09310344827586207;0.8179068565368652;0.5101999044418335
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;250;votes;0.5;0.45;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
