Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO
Capitan;Capitan;val;SAE_D0_RVH_Capitan;VH;0;0;1;;0;0.65;121;0.979591836734694;0.8788180194469121;0.967741935483871;0.9917355371900827;120.0;4;1;0.9917355371900827;0.03225806451612903;0.008264462809917356;0.9705905914306641;0.638384222984314
Capitan;Capitan;test;SAE_D0_RVH_Capitan;VH;0;0;1;;0.5;0.65;144;0.9470198675496688;0.8749328028668382;0.9050632911392406;0.9930555555555556;143.0;15;1;0.9930555555555556;0.0949367088607595;0.006944444444444444;0.9798714518547058;0.7422403693199158
Capitan;SEILS;test;SAE_D0_RVH_Capitan;VH;0;0;1;;0.5;0.65;289;0.08121827411167512;0.6584054878416188;0.06412825651302605;0.11072664359861592;32.0;467;257;0.11072664359861592;0.935871743486974;0.889273356401384;0.0097535764798522;0.002615158213302493
Capitan;FMT_C;test;SAE_D0_RVH_Capitan;VH;0;0;1;;0.5;0.65;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D0_RVH_SEILS;VH;0;0;1;;0;0.55;290;0.9376114081996435;0.8690635521196762;0.9704797047970479;0.906896551724138;263.0;8;27;0.906896551724138;0.02952029520295203;0.09310344827586207;0.8217941522598267;0.541198194026947
SEILS;Capitan;test;SAE_D0_RVH_SEILS;VH;0;0;1;;0.5;0.55;144;0;0;0.0;0.0;0.0;18;144;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D0_RVH_SEILS;VH;0;0;1;;0.5;0.55;289;0.9373881932021466;0.8773508480383971;0.9703703703703703;0.9065743944636678;262.0;8;27;0.9065743944636678;0.02962962962962963;0.09342560553633218;0.8828689455986023;0.6542710065841675
SEILS;FMT_C;test;SAE_D0_RVH_SEILS;VH;0;0;1;;0.5;0.55;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D0_RVH_FMT_C;VH;0;0;1;;0;0.65;316;0.9715189873417721;0.8183882109001269;0.9715189873417721;0.9715189873417721;307.0;9;9;0.9715189873417721;0.028481012658227847;0.028481012658227847;0.7188936471939087;0.3763446807861328
FMT_C;Capitan;test;SAE_D0_RVH_FMT_C;VH;0;0;1;;0.5;0.65;144;0.015748031496062992;0.6358605515315817;0.01818181818181818;0.013888888888888888;2.0;108;142;0.013888888888888888;0.9818181818181818;0.9861111111111112;0.00025484198704361916;7.30042447685264e-05
FMT_C;SEILS;test;SAE_D0_RVH_FMT_C;VH;0;0;1;;0.5;0.65;289;0;0;0.0;0.0;0.0;78;289;0.0;1.0;1.0;0.0;0.0
FMT_C;FMT_C;test;SAE_D0_RVH_FMT_C;VH;0;0;1;;0.5;0.65;311;0.9569377990430622;0.8110445115922335;0.9493670886075949;0.9646302250803859;300.0;16;11;0.9646302250803859;0.05063291139240506;0.03536977491961415;0.9476838707923889;0.533124566078186
Capitan;Capitan;val;SAE_D1_RVH_Capitan;VH;0.1;0;1;;0;0.8;121;0.9876543209876544;0.8625969147151632;0.9836065573770492;0.9917355371900827;120.0;2;1;0.9917355371900827;0.01639344262295082;0.008264462809917356;0.9628856778144836;0.6264605522155762
Capitan;Capitan;test;SAE_D1_RVH_Capitan;VH;0.1;0;1;;0.5;0.8;144;0.9794520547945206;0.8687876118542104;0.9662162162162162;0.9930555555555556;143.0;5;1;0.9930555555555556;0.033783783783783786;0.006944444444444444;0.986910879611969;0.7241224646568298
Capitan;SEILS;test;SAE_D1_RVH_Capitan;VH;0.1;0;1;;0.5;0.8;289;0.15000000000000002;0.6585249897621601;0.13675213675213677;0.16608996539792387;48.0;303;241;0.16608996539792387;0.8632478632478633;0.8339100346020761;0.032962050288915634;0.008956916630268097
Capitan;FMT_C;test;SAE_D1_RVH_Capitan;VH;0.1;0;1;;0.5;0.8;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D1_RVH_SEILS;VH;0.1;0;1;;0;0.7;290;0.9392857142857144;0.8724422359406601;0.9740740740740741;0.906896551724138;263.0;7;27;0.906896551724138;0.025925925925925925;0.09310344827586207;0.8517946600914001;0.5499508380889893
SEILS;Capitan;test;SAE_D1_RVH_SEILS;VH;0.1;0;1;;0.5;0.7;144;0.04145077720207253;0.5646909184109228;0.08163265306122448;0.027777777777777776;4.0;45;140;0.027777777777777776;0.9183673469387755;0.9722222222222222;0.002314814832061529;0.00047218037070706487
SEILS;SEILS;test;SAE_D1_RVH_SEILS;VH;0.1;0;1;;0.5;0.7;289;0.9373881932021466;0.8821668141380192;0.9703703703703703;0.9065743944636678;262.0;8;27;0.9065743944636678;0.02962962962962963;0.09342560553633218;0.8817633986473083;0.6532052755355835
SEILS;FMT_C;test;SAE_D1_RVH_SEILS;VH;0.1;0;1;;0.5;0.7;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D1_RVH_FMT_C;VH;0.1;0;1;;0;0.65;316;0.9745222929936307;0.826555310771894;0.9807692307692307;0.9683544303797469;306.0;6;10;0.9683544303797469;0.019230769230769232;0.03164556962025317;0.7289360165596008;0.3834889233112335
FMT_C;Capitan;test;SAE_D1_RVH_FMT_C;VH;0.1;0;1;;0.5;0.65;144;0.10408921933085502;0.5783916350062291;0.112;0.09722222222222222;14.0;111;130;0.09722222222222222;0.888;0.9027777777777778;0.015004959888756275;0.002820502268150449
FMT_C;SEILS;test;SAE_D1_RVH_FMT_C;VH;0.1;0;1;;0.5;0.65;289;0.24120603015075376;0.6185408034016319;0.1893491124260355;0.33217993079584773;96.0;411;193;0.33217993079584773;0.8106508875739645;0.6678200692041523;0.11057225614786148;0.025099506601691246
FMT_C;FMT_C;test;SAE_D1_RVH_FMT_C;VH;0.1;0;1;;0.5;0.65;311;0.9693053311793215;0.814126673239201;0.974025974025974;0.9646302250803859;300.0;8;11;0.9646302250803859;0.025974025974025976;0.03536977491961415;0.9539504647254944;0.5446943044662476
Capitan;Capitan;val;SAE_D2_RVH_Capitan;VH;0.2;0;1;;0;0.75;121;0.9876543209876544;0.8739751512337003;0.9836065573770492;0.9917355371900827;120.0;2;1;0.9917355371900827;0.01639344262295082;0.008264462809917356;0.964818000793457;0.6174741983413696
Capitan;Capitan;test;SAE_D2_RVH_Capitan;VH;0.2;0;1;;0.5;0.75;144;0.9597315436241611;0.8695439080190033;0.9285714285714286;0.9930555555555556;143.0;11;1;0.9930555555555556;0.07142857142857142;0.006944444444444444;0.9745976328849792;0.721565842628479
Capitan;SEILS;test;SAE_D2_RVH_Capitan;VH;0.2;0;1;;0.5;0.75;289;0.12429378531073447;0.7551615304087901;0.13636363636363635;0.11418685121107267;33.0;209;256;0.11418685121107267;0.8636363636363636;0.8858131487889274;0.026733845472335815;0.01458122581243515
Capitan;FMT_C;test;SAE_D2_RVH_Capitan;VH;0.2;0;1;;0.5;0.75;311;0;0;0.0;0.0;0.0;1;311;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0;1;;0;0.7;290;0.9428571428571428;0.8669460566799038;0.9777777777777777;0.9103448275862069;264.0;6;26;0.9103448275862069;0.022222222222222223;0.0896551724137931;0.8510503768920898;0.5383054614067078
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0;1;;0.5;0.7;144;0;0;0.0;0.0;0.0;0;144;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0;1;;0.5;0.7;289;0.932142857142857;0.8802978805374603;0.9630996309963099;0.903114186851211;261.0;10;28;0.903114186851211;0.03690036900369004;0.09688581314878893;0.8783053755760193;0.6422311067581177
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0;1;;0.5;0.7;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0;1;;0;0.6;316;0.9761526232114468;0.8232426417846186;0.9808306709265175;0.9715189873417721;307.0;6;9;0.9715189873417721;0.019169329073482427;0.028481012658227847;0.79105144739151;0.42036861181259155
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0;1;;0.5;0.6;144;0.20087336244541482;0.6038885472263931;0.27058823529411763;0.1597222222222222;23.0;62;121;0.1597222222222222;0.7294117647058823;0.8402777777777778;0.05662468075752258;0.011991819366812706
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0;1;;0.5;0.6;289;0.5295774647887325;0.6796912601978395;0.44655581947743467;0.6505190311418685;188.0;233;101;0.6505190311418685;0.5534441805225653;0.3494809688581315;0.3917537331581116;0.1339840441942215
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0;1;;0.5;0.6;311;0.9759229534510432;0.8107026889785842;0.9743589743589743;0.977491961414791;304.0;8;7;0.977491961414791;0.02564102564102564;0.022508038585209004;0.9679244160652161;0.5485504865646362
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0;1;;0;0.8;121;0.9875518672199171;0.8648356424998395;0.9916666666666667;0.9834710743801653;119.0;1;2;0.9834710743801653;0.008333333333333333;0.01652892561983471;0.9455466866493225;0.6086665391921997
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0;1;;0.5;0.8;144;0.9862068965517242;0.8609258502292938;0.9794520547945206;0.9930555555555556;143.0;3;1;0.9930555555555556;0.02054794520547945;0.006944444444444444;0.9900026321411133;0.7043156623840332
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0;1;;0.5;0.8;289;0.46884272997032644;0.7349322608926322;0.4103896103896104;0.5467128027681661;158.0;227;131;0.5467128027681661;0.5896103896103896;0.4532871972318339;0.27808457612991333;0.11834100633859634
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0;1;;0.5;0.8;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D3_RVH_SEILS;VH;0.3;0;1;;0;0.65;290;0.9428571428571428;0.86180507957172;0.9777777777777777;0.9103448275862069;264.0;6;26;0.9103448275862069;0.022222222222222223;0.0896551724137931;0.8520812392234802;0.533552348613739
SEILS;Capitan;test;SAE_D3_RVH_SEILS;VH;0.3;0;1;;0.5;0.65;144;0;0;0.0;0.0;0.0;5;144;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D3_RVH_SEILS;VH;0.3;0;1;;0.5;0.65;289;0.932142857142857;0.8756392717180093;0.9630996309963099;0.903114186851211;261.0;10;28;0.903114186851211;0.03690036900369004;0.09688581314878893;0.8715764880180359;0.6428555250167847
SEILS;FMT_C;test;SAE_D3_RVH_SEILS;VH;0.3;0;1;;0.5;0.65;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D3_RVH_FMT_C;VH;0.3;0;1;;0;0.45;316;0.9761526232114468;0.7886831750948718;0.9808306709265175;0.9715189873417721;307.0;6;9;0.9715189873417721;0.019169329073482427;0.028481012658227847;0.8246030211448669;0.42123812437057495
FMT_C;Capitan;test;SAE_D3_RVH_FMT_C;VH;0.3;0;1;;0.5;0.45;144;0.15833333333333333;0.5839658750832224;0.19791666666666666;0.13194444444444445;19.0;77;125;0.13194444444444445;0.8020833333333334;0.8680555555555556;0.0359509140253067;0.007414337247610092
FMT_C;SEILS;test;SAE_D3_RVH_FMT_C;VH;0.3;0;1;;0.5;0.45;289;0.39258114374034003;0.6821363597999424;0.3547486033519553;0.43944636678200694;127.0;231;162;0.43944636678200694;0.6452513966480447;0.5605536332179931;0.27344411611557007;0.09003996849060059
FMT_C;FMT_C;test;SAE_D3_RVH_FMT_C;VH;0.3;0;1;;0.5;0.45;311;0.9791332263242376;0.7876584036800157;0.9775641025641025;0.9807073954983923;305.0;7;6;0.9807073954983923;0.022435897435897436;0.01929260450160772;0.9721903204917908;0.5261249542236328
Capitan;Capitan;val;SAE_D4_RVH_Capitan;VH;0.4;0;1;;0;0.6;121;0.9444444444444445;0.849069400361119;0.9083969465648855;0.9834710743801653;119.0;12;2;0.9834710743801653;0.0916030534351145;0.01652892561983471;0.8866820931434631;0.5205221772193909
Capitan;Capitan;test;SAE_D4_RVH_Capitan;VH;0.4;0;1;;0.5;0.6;144;0.923076923076923;0.8394925174676503;0.8571428571428571;1.0;144.0;24;0;1.0;0.14285714285714285;0.0;0.9480209946632385;0.6415284276008606
