Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO
Capitan;Capitan;val;SAE_D0_RVH_Capitan;VH;0;0;1;max;0;0.65;121;0.979591836734694;0.8788180194469121;0.967741935483871;0.9917355371900827;120.0;4;1;0.9917355371900827;0.03225806451612903;0.008264462809917356;0.9705905914306641;0.638384222984314
Capitan;Capitan;test;SAE_D0_RVH_Capitan;VH;0;0;1;max;0.5;0.65;144;0.9470198675496688;0.8749328028668382;0.9050632911392406;0.9930555555555556;143.0;15;1;0.9930555555555556;0.0949367088607595;0.006944444444444444;0.9798714518547058;0.7422403693199158
Capitan;SEILS;test;SAE_D0_RVH_Capitan;VH;0;0;1;max;0.5;0.65;289;0.08121827411167512;0.6584054878416188;0.06412825651302605;0.11072664359861592;32.0;467;257;0.11072664359861592;0.935871743486974;0.889273356401384;0.0097535764798522;0.002615158213302493
Capitan;FMT_C;test;SAE_D0_RVH_Capitan;VH;0;0;1;max;0.5;0.65;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D0_RVH_SEILS;VH;0;0;1;max;0;0.55;290;0.9376114081996435;0.8690635521196762;0.9704797047970479;0.906896551724138;263.0;8;27;0.906896551724138;0.02952029520295203;0.09310344827586207;0.8217941522598267;0.541198194026947
SEILS;Capitan;test;SAE_D0_RVH_SEILS;VH;0;0;1;max;0.5;0.55;144;0;0;0.0;0.0;0.0;18;144;0.0;1.0;1.0;0.0;0.0
SEILS;SEILS;test;SAE_D0_RVH_SEILS;VH;0;0;1;max;0.5;0.55;289;0.9373881932021466;0.8773508480383971;0.9703703703703703;0.9065743944636678;262.0;8;27;0.9065743944636678;0.02962962962962963;0.09342560553633218;0.8828689455986023;0.6542710065841675
SEILS;FMT_C;test;SAE_D0_RVH_SEILS;VH;0;0;1;max;0.5;0.55;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D0_RVH_FMT_C;VH;0;0;1;max;0;0.65;316;0.9715189873417721;0.8183882109001269;0.9715189873417721;0.9715189873417721;307.0;9;9;0.9715189873417721;0.028481012658227847;0.028481012658227847;0.7188936471939087;0.3763446807861328
FMT_C;Capitan;test;SAE_D0_RVH_FMT_C;VH;0;0;1;max;0.5;0.65;144;0.015748031496062992;0.6358605515315817;0.01818181818181818;0.013888888888888888;2.0;108;142;0.013888888888888888;0.9818181818181818;0.9861111111111112;0.00025484198704361916;7.30042447685264e-05
FMT_C;SEILS;test;SAE_D0_RVH_FMT_C;VH;0;0;1;max;0.5;0.65;289;0;0;0.0;0.0;0.0;78;289;0.0;1.0;1.0;0.0;0.0
FMT_C;FMT_C;test;SAE_D0_RVH_FMT_C;VH;0;0;1;max;0.5;0.65;311;0.9569377990430622;0.8110445115922335;0.9493670886075949;0.9646302250803859;300.0;16;11;0.9646302250803859;0.05063291139240506;0.03536977491961415;0.9476838707923889;0.533124566078186
Capitan;Capitan;val;SAE_D1_RVH_Capitan;VH;0.1;0.1;1;max;0;0.35;121;0.963265306122449;0.8390871766404353;0.9516129032258065;0.9752066115702479;118.0;6;3;0.9752066115702479;0.04838709677419355;0.024793388429752067;0.8905842900276184;0.5622049570083618
Capitan;Capitan;test;SAE_D1_RVH_Capitan;VH;0.1;0.1;1;max;0.5;0.35;144;0.9350649350649352;0.8333514902106831;0.8780487804878049;1.0;144.0;20;0;1.0;0.12195121951219512;0.0;0.9917067289352417;0.647736668586731
Capitan;SEILS;test;SAE_D1_RVH_Capitan;VH;0.1;0.1;1;max;0.5;0.35;289;0.2127659574468085;0.7009185169975773;0.18028846153846154;0.25951557093425603;75.0;341;214;0.25951557093425603;0.8197115384615384;0.740484429065744;0.09676281362771988;0.03430851921439171
Capitan;FMT_C;test;SAE_D1_RVH_Capitan;VH;0.1;0.1;1;max;0.5;0.35;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0
SEILS;SEILS;val;SAE_D1_RVH_SEILS;VH;0.1;0.1;1;max;0;0.55;290;0.9049295774647887;0.8432711556512532;0.9244604316546763;0.8862068965517241;257.0;21;33;0.8862068965517241;0.07553956834532374;0.11379310344827587;0.7261312007904053;0.4350406229496002
SEILS;Capitan;test;SAE_D1_RVH_SEILS;VH;0.1;0.1;1;max;0.5;0.55;144;0.12935323383084577;0.7249647185109752;0.22807017543859648;0.09027777777777778;13.0;44;131;0.09027777777777778;0.7719298245614035;0.9097222222222222;0.02620197832584381;0.010390529409050941
SEILS;SEILS;test;SAE_D1_RVH_SEILS;VH;0.1;0.1;1;max;0.5;0.55;289;0.9307282415630552;0.8578868993651844;0.9562043795620438;0.9065743944636678;262.0;12;27;0.9065743944636678;0.043795620437956206;0.09342560553633218;0.8687341809272766;0.5906133651733398
SEILS;FMT_C;test;SAE_D1_RVH_SEILS;VH;0.1;0.1;1;max;0.5;0.55;311;0;0;0.0;0.0;0.0;17;311;0.0;1.0;1.0;0.0;0.0
FMT_C;FMT_C;val;SAE_D1_RVH_FMT_C;VH;0.1;0.1;1;max;0;0.75;316;0.902627511591963;0.8215389333996761;0.8821752265861027;0.9240506329113924;292.0;39;24;0.9240506329113924;0.11782477341389729;0.0759493670886076;0.5984520316123962;0.30635377764701843
FMT_C;Capitan;test;SAE_D1_RVH_FMT_C;VH;0.1;0.1;1;max;0.5;0.75;144;0.02531645569620253;0.585404928111937;0.03225806451612903;0.020833333333333332;3.0;90;141;0.020833333333333332;0.967741935483871;0.9791666666666666;0.0014399851206690073;0.0003675618499983102
FMT_C;SEILS;test;SAE_D1_RVH_FMT_C;VH;0.1;0.1;1;max;0.5;0.75;289;0.0960548885077187;0.6016937465294624;0.09523809523809523;0.09688581314878893;28.0;266;261;0.09688581314878893;0.9047619047619048;0.903114186851211;0.019577516242861748;0.003988401032984257
FMT_C;FMT_C;test;SAE_D1_RVH_FMT_C;VH;0.1;0.1;1;max;0.5;0.75;311;0.881619937694704;0.8004123956160816;0.8549848942598187;0.909967845659164;283.0;48;28;0.909967845659164;0.14501510574018128;0.09003215434083602;0.8270065784454346;0.45191508531570435
Capitan;Capitan;val;SAE_D2_RVH_Capitan;VH;0.2;0.2;1;max;0;0.3;121;0.9677419354838711;0.8162042646231767;0.9448818897637795;0.9917355371900827;120.0;7;1;0.9917355371900827;0.05511811023622047;0.008264462809917356;0.857883632183075;0.5130851864814758
Capitan;Capitan;test;SAE_D2_RVH_Capitan;VH;0.2;0.2;1;max;0.5;0.3;144;0.878048780487805;0.8105720273476381;0.782608695652174;1.0;144.0;40;0;1.0;0.21739130434782608;0.0;0.9465634822845459;0.5579850673675537
Capitan;SEILS;test;SAE_D2_RVH_Capitan;VH;0.2;0.2;1;max;0.5;0.3;289;0.19935691318327978;0.7127950242540592;0.18618618618618618;0.21453287197231835;62.0;271;227;0.21453287197231835;0.8138138138138138;0.7854671280276817;0.058874860405921936;0.021448232233524323
